--Removing Trade Evolutions--
Made POLIWHIRL evolve into POLITOED at level 37
Made KADABRA evolve into ALAKAZAM at level 37
Made MACHOKE evolve into MACHAMP at level 37
Made GRAVELER evolve into GOLEM at level 37
Made SLOWPOKE evolve into SLOWKING using a PEDRA ÁGUA
Made HAUNTER evolve into GENGAR at level 37
Made ONIX evolve into STEELIX at level 30
Made SEADRA evolve into KINGDRA at level 40
Made SCYTHER evolve into SCIZOR at level 30
Made EEVEE evolve into ESPEON using a PEDRA SOL
Made EEVEE evolve into UMBREON using a PEDRA LUA
Made PORYGON evolve into PORYGON2 at level 30
Made FEEBAS evolve into MILOTIC at level 35
Made CLAMPERL evolve into HUNTAIL at level 30
Made CLAMPERL evolve into GOREBYSS using a PEDRA ÁGUA

--Condensed Level Evolutions--
RHYHORN now evolves into RHYDON at minimum level 40
HORSEA now evolves into SEADRA at minimum level 30
DRAGONAIR now evolves into DRAGONITE at minimum level 40
PUPITAR now evolves into TYRANITAR at minimum level 40
ARON now evolves into LAIRON at minimum level 30
LAIRON now evolves into AGGRON at minimum level 40
TRAPINCH now evolves into VIBRAVA at minimum level 30
VIBRAVA now evolves into FLYGON at minimum level 40
SNORUNT now evolves into GLALIE at minimum level 40
SPHEAL now evolves into SEALEO at minimum level 30
SEALEO now evolves into WALREIN at minimum level 40
SHELGON now evolves into SALAMENCE at minimum level 40
METANG now evolves into METAGROSS at minimum level 40

--Patching for National Dex at Start of Game--
Patch successful!

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
 15|Beedrill  |BUG/POISON       |  65|  80|  40|  75|  45|  80|SWARM       |-------     |TM03 (rare)
 16|Pidgey    |NORMAL/FLYING    |  40|  45|  40|  56|  35|  35|KEEN EYE    |-------     |
 17|Pidgeotto |NORMAL/FLYING    |  63|  60|  55|  71|  50|  50|KEEN EYE    |-------     |
 18|Pidgeot   |NORMAL/FLYING    |  83|  80|  75|  91|  70|  70|KEEN EYE    |-------     |PEDRA RAIO (rare)
 19|Rattata   |NORMAL           |  30|  56|  35|  72|  25|  35|RUN AWAY    |GUTS        |CONCHA RASA (common)
 20|Raticate  |NORMAL           |  55|  81|  60|  97|  50|  70|RUN AWAY    |GUTS        |PEDRA LUA (common)
 21|Spearow   |NORMAL/FLYING    |  40|  60|  30|  70|  31|  31|KEEN EYE    |-------     |
 22|Fearow    |NORMAL/FLYING    |  65|  90|  65| 100|  61|  61|KEEN EYE    |-------     |TM02 (common), TM15 (rare)
 23|Ekans     |POISON           |  35|  60|  44|  55|  40|  54|INTIMIDATE  |SHED SKIN   |PEDRA SOL (rare)
 24|Arbok     |POISON           |  60|  85|  69|  80|  65|  79|INTIMIDATE  |SHED SKIN   |
 25|Pikachu   |ELECTRIC         |  35|  55|  30|  90|  50|  40|STATIC      |-------     |ÓCULOESCURO (common)
 26|Raichu    |ELECTRIC         |  60|  90|  55| 100|  90|  80|STATIC      |-------     |LEPPA FRUTO (rare)
 27|Sandshrew |GROUND           |  50|  75|  85|  40|  20|  30|SAND VEIL   |-------     |
 28|Sandslash |GROUND           |  75| 100| 110|  65|  45|  55|SAND VEIL   |-------     |
 29|Nidoran♀  |POISON           |  55|  47|  52|  41|  40|  40|POISON POINT|-------     |SUCO DE FRUTA (common), DIRETO (rare)
 30|Nidorina  |POISON           |  70|  62|  67|  56|  55|  55|POISON POINT|-------     |
 31|Nidoqueen |POISON/GROUND    |  90|  82|  87|  76|  75|  85|POISON POINT|-------     |
 32|Nidoran♂  |POISON           |  46|  57|  40|  50|  40|  40|POISON POINT|-------     |
 33|Nidorino  |POISON           |  61|  72|  57|  65|  55|  55|POISON POINT|-------     |FL. VERMELHA (rare)
 34|Nidoking  |POISON/GROUND    |  81|  92|  77|  85|  85|  75|POISON POINT|-------     |SINO DA PAZ (common), TM48 (rare)
 35|Clefairy  |NORMAL           |  70|  45|  48|  35|  60|  65|CUTE CHARM  |-------     |DRAGÄO FANG (common), TM07 (rare)
 36|Clefable  |NORMAL           |  95|  70|  73|  60|  85|  90|CUTE CHARM  |-------     |CHESTO FRUTO (common)
 37|Vulpix    |FIRE             |  38|  41|  40|  65|  50|  65|FLASH FIRE  |-------     |LEPPA FRUTO (rare)
 38|Ninetales |FIRE             |  73|  76|  75| 100|  81| 100|FLASH FIRE  |-------     |
 39|Jigglypuff|NORMAL           | 115|  45|  20|  20|  45|  25|CUTE CHARM  |-------     |TM27 (rare)
 40|Wigglytuff|NORMAL           | 140|  70|  45|  45|  75|  50|CUTE CHARM  |-------     |
 41|Zubat     |POISON/FLYING    |  40|  45|  35|  55|  30|  40|INNER FOCUS |-------     |TM23 (common)
 42|Golbat    |POISON/FLYING    |  75|  80|  70|  90|  65|  75|INNER FOCUS |-------     |
 43|Oddish    |GRASS/POISON     |  45|  50|  55|  30|  75|  65|CHLOROPHYLL |-------     |
 44|Gloom     |GRASS/POISON     |  60|  65|  70|  40|  85|  75|CHLOROPHYLL |-------     |TM27 (common)
 45|Vileplume |GRASS/POISON     |  75|  80|  85|  50| 100|  90|CHLOROPHYLL |-------     |PERSIM FRUTO (common), RESTOS (rare)
 46|Paras     |BUG/GRASS        |  35|  70|  55|  25|  45|  55|EFFECT SPORE|-------     |
 47|Parasect  |BUG/GRASS        |  60|  95|  80|  30|  60|  80|EFFECT SPORE|-------     |
 48|Venonat   |BUG/POISON       |  60|  55|  50|  45|  40|  55|COMPOUNDEYES|-------     |ÓCULOESCURO (common)
 49|Venomoth  |BUG/POISON       |  70|  65|  60|  90|  90|  75|SHIELD DUST |-------     |
 50|Diglett   |GROUND           |  10|  55|  25|  95|  35|  45|SAND VEIL   |ARENA TRAP  |
 51|Dugtrio   |GROUND           |  35|  80|  50| 120|  50|  70|SAND VEIL   |ARENA TRAP  |COGUMELO G. (rare)
 52|Meowth    |NORMAL           |  40|  45|  35|  90|  40|  40|PICKUP      |-------     |SAFARI BOLA (rare)
 53|Persian   |NORMAL           |  65|  70|  60| 115|  65|  65|LIMBER      |-------     |
 54|Psyduck   |WATER            |  50|  52|  48|  55|  65|  50|DAMP        |CLOUD NINE  |
 55|Golduck   |WATER            |  80|  82|  78|  85|  95|  80|DAMP        |CLOUD NINE  |LUM FRUTO (common), ÉTER (rare)
 56|Mankey    |FIGHTING         |  40|  80|  35|  70|  35|  45|VITAL SPIRIT|-------     |SAL FINO (common), TM28 (rare)
 57|Primeape  |FIGHTING         |  65| 105|  60|  95|  60|  70|VITAL SPIRIT|-------     |
 58|Growlithe |FIRE             |  55|  70|  45|  60|  70|  50|INTIMIDATE  |FLASH FIRE  |
 59|Arcanine  |FIRE             |  90| 110|  80|  95| 100|  80|INTIMIDATE  |FLASH FIRE  |SITRUS FRUTO (common), TM12 (rare)
 60|Poliwag   |WATER            |  40|  50|  40|  90|  40|  40|WATER ABSORB|DAMP        |REPARA TUDO (common)
 61|Poliwhirl |WATER            |  65|  65|  65|  90|  50|  50|WATER ABSORB|DAMP        |CARBURANTE (common), SEM. MILAGRE (rare)
 62|Poliwrath |WATER/FIGHTING   |  90|  85|  95|  70|  70|  90|WATER ABSORB|DAMP        |
 63|Abra      |PSYCHIC          |  25|  20|  15|  90| 105|  55|SYNCHRONIZE |INNER FOCUS |
 64|Kadabra   |PSYCHIC          |  40|  35|  30| 105| 120|  70|SYNCHRONIZE |INNER FOCUS |
 65|Alakazam  |PSYCHIC          |  55|  50|  45| 120| 135|  85|SYNCHRONIZE |INNER FOCUS |COLHER TORTA (rare)
 66|Machop    |FIGHTING         |  70|  80|  50|  35|  35|  35|GUTS        |-------     |ÉTER MÁX. (rare)
 67|Machoke   |FIGHTING         |  80| 100|  70|  45|  50|  60|GUTS        |-------     |PUXADOR (rare)
 68|Machamp   |FIGHTING         |  90| 130|  80|  55|  65|  85|GUTS        |-------     |
 69|Bellsprout|GRASS/POISON     |  50|  75|  35|  40|  70|  30|CHLOROPHYLL |-------     |
 70|Weepinbell|GRASS/POISON     |  65|  90|  50|  55|  85|  45|CHLOROPHYLL |-------     |FR. AZUL (common), ESPECIAL X (rare)
 71|Victreebel|GRASS/POISON     |  80| 105|  65|  70| 100|  60|CHLOROPHYLL |-------     |
 72|Tentacool |WATER/POISON     |  40|  40|  35|  70|  50| 100|CLEAR BODY  |LIQUID OOZE |
 73|Tentacruel|WATER/POISON     |  80|  70|  65| 100|  80| 120|CLEAR BODY  |LIQUID OOZE |TELESCÓPIO (rare)
 74|Geodude   |ROCK/GROUND      |  40|  80| 100|  20|  30|  30|ROCK HEAD   |STURDY      |
 75|Graveler  |ROCK/GROUND      |  55|  95| 115|  35|  45|  45|ROCK HEAD   |STURDY      |
 76|Golem     |ROCK/GROUND      |  80| 110| 130|  45|  55|  65|ROCK HEAD   |STURDY      |
 77|Ponyta    |FIRE             |  50|  85|  55|  90|  65|  65|RUN AWAY    |FLASH FIRE  |SUCO DE FRUTA (common), TM15 (rare)
 78|Rapidash  |FIRE             |  65| 100|  70| 105|  80|  80|RUN AWAY    |FLASH FIRE  |DRAGÄO FANG (common), TM03 (rare)
 79|Slowpoke  |WATER/PSYCHIC    |  90|  65|  65|  15|  40|  40|OBLIVIOUS   |OWN TEMPO   |
 80|Slowbro   |WATER/PSYCHIC    |  95|  75| 110|  30| 100|  80|OBLIVIOUS   |OWN TEMPO   |
 81|Magnemite |ELECTRIC/STEEL   |  25|  35|  70|  45|  95|  55|MAGNET PULL |STURDY      |
 82|Magneton  |ELECTRIC/STEEL   |  50|  60|  95|  70| 120|  70|MAGNET PULL |STURDY      |
 83|Farfetch’D|NORMAL/FLYING    |  52|  65|  55|  60|  58|  62|KEEN EYE    |INNER FOCUS |TM26 (common)
 84|Doduo     |NORMAL/FLYING    |  35|  85|  45|  75|  35|  35|RUN AWAY    |EARLY BIRD  |
 85|Dodrio    |NORMAL/FLYING    |  60| 110|  70| 100|  60|  60|RUN AWAY    |EARLY BIRD  |
 86|Seel      |WATER            |  65|  45|  55|  45|  45|  70|THICK FAT   |-------     |
 87|Dewgong   |WATER/ICE        |  90|  70|  80|  70|  70|  95|THICK FAT   |-------     |PEDRA DURA (common)
 88|Grimer    |POISON           |  80|  80|  50|  25|  40|  50|STENCH      |STICKY HOLD |
 89|Muk       |POISON           | 105| 105|  75|  50|  65| 100|STENCH      |STICKY HOLD |
 90|Shellder  |WATER            |  30|  65| 100|  40|  45|  25|SHELL ARMOR |-------     |
 91|Cloyster  |WATER/ICE        |  50|  95| 180|  70|  85|  45|SHELL ARMOR |-------     |TM09 (common), PECHA FRUTO (rare)
 92|Gastly    |GHOST/POISON     |  30|  35|  30|  80| 100|  35|LEVITATE    |-------     |TM15 (100%)
 93|Haunter   |GHOST/POISON     |  45|  50|  45|  95| 115|  55|LEVITATE    |-------     |
 94|Gengar    |GHOST/POISON     |  60|  65|  60| 110| 130|  75|LEVITATE    |-------     |
 95|Onix      |ROCK/GROUND      |  35|  45| 160|  70|  30|  45|ROCK HEAD   |STURDY      |SAL FINO (100%)
 96|Drowzee   |PSYCHIC          |  60|  48|  45|  42|  43|  90|INSOMNIA    |-------     |
 97|Hypno     |PSYCHIC          |  85|  73|  70|  67|  73| 115|INSOMNIA    |-------     |
 98|Krabby    |WATER            |  30| 105|  90|  50|  25|  25|HYPER CUTTER|SHELL ARMOR |TM43 (rare)
 99|Kingler   |WATER            |  55| 130| 115|  75|  50|  50|HYPER CUTTER|SHELL ARMOR |FL. VERMELHA (100%)
100|Voltorb   |ELECTRIC         |  40|  30|  50| 100|  55|  55|SOUNDPROOF  |STATIC      |BOLA TURNO (common)
101|Electrode |ELECTRIC         |  60|  50|  70| 140|  80|  80|SOUNDPROOF  |STATIC      |
102|Exeggcute |GRASS/PSYCHIC    |  60|  40|  80|  40|  60|  45|CHLOROPHYLL |-------     |
103|Exeggutor |GRASS/PSYCHIC    |  95|  95|  85|  55| 125|  65|CHLOROPHYLL |-------     |
104|Cubone    |GROUND           |  50|  50|  95|  35|  40|  50|ROCK HEAD   |LIGHTNINGROD|REV.METÁLICO (common), CORDA P/FUGA (rare)
105|Marowak   |GROUND           |  60|  80| 110|  45|  50|  80|ROCK HEAD   |LIGHTNINGROD|TM50 (common), CHESTO FRUTO (rare)
106|Hitmonlee |FIGHTING         |  50| 120|  53|  87|  35| 110|LIMBER      |-------     |
107|Hitmonchan|FIGHTING         |  50| 105|  79|  76|  35| 110|KEEN EYE    |-------     |
108|Lickitung |NORMAL           |  90|  55|  75|  30|  60|  75|OWN TEMPO   |OBLIVIOUS   |
109|Koffing   |POISON           |  40|  65|  95|  35|  60|  45|LEVITATE    |-------     |
110|Weezing   |POISON           |  65|  90| 120|  60|  85|  70|LEVITATE    |-------     |TM48 (common)
111|Rhyhorn   |GROUND/ROCK      |  80|  85|  95|  25|  30|  30|LIGHTNINGROD|ROCK HEAD   |ASPEAR FRUTO (100%)
112|Rhydon    |GROUND/ROCK      | 105| 130| 120|  40|  45|  45|LIGHTNINGROD|ROCK HEAD   |
113|Chansey   |NORMAL           | 250|   5|   5|  50|  35| 105|NATURAL CURE|SERENE GRACE|SITRUS FRUTO (rare)
114|Tangela   |GRASS            |  65|  55| 115|  60| 100|  40|CHLOROPHYLL |-------     |MAIS HP (rare)
115|Kangaskhan|NORMAL           | 105|  95|  80|  90|  40|  80|EARLY BIRD  |-------     |
116|Horsea    |WATER            |  30|  40|  70|  60|  70|  25|SWIFT SWIM  |-------     |
117|Seadra    |WATER            |  55|  65|  95|  85|  95|  45|POISON POINT|-------     |
118|Goldeen   |WATER            |  45|  67|  60|  63|  35|  50|SWIFT SWIM  |WATER VEIL  |FL. AZUL (rare)
119|Seaking   |WATER            |  80|  92|  65|  68|  65|  80|SWIFT SWIM  |WATER VEIL  |MAIS HP (common), AREIA FINA (rare)
120|Staryu    |WATER            |  30|  45|  55|  85|  70|  55|ILLUMINATE  |NATURAL CURE|
121|Starmie   |WATER/PSYCHIC    |  60|  75|  85| 115| 100|  85|ILLUMINATE  |NATURAL CURE|COGUMELO G. (rare)
122|Mr. Mime  |PSYCHIC          |  40|  45|  65|  90| 100| 120|SOUNDPROOF  |-------     |
123|Scyther   |BUG/FLYING       |  70| 110|  80| 105|  55|  80|SWARM       |-------     |
124|Jynx      |ICE/PSYCHIC      |  65|  50|  35|  95| 115|  95|OBLIVIOUS   |-------     |
125|Electabuzz|ELECTRIC         |  65|  83|  57| 105|  95|  85|STATIC      |-------     |COGUMELO G. (common), DOCE LAVA (rare)
126|Magmar    |FIRE             |  65|  95|  57|  93| 100|  85|FLAME BODY  |-------     |TM49 (common), PROTEÏNA (rare)
127|Pinsir    |BUG              |  65| 125| 100|  85|  55|  70|HYPER CUTTER|-------     |PEDRA LUA (common)
128|Tauros    |NORMAL           |  75| 100|  95| 110|  40|  70|INTIMIDATE  |-------     |REPELENTE (rare)
129|Magikarp  |WATER            |  20|  10|  55|  80|  15|  20|SWIFT SWIM  |-------     |POKé BOLA (100%)
130|Gyarados  |WATER/FLYING     |  95| 125|  79|  81|  60| 100|INTIMIDATE  |-------     |PERSIM FRUTO (common), ÁGUA MÍSTICA (rare)
131|Lapras    |WATER/ICE        | 130|  85|  80|  60|  85|  95|WATER ABSORB|SHELL ARMOR |
132|Ditto     |NORMAL           |  48|  48|  48|  48|  48|  48|LIMBER      |-------     |TM43 (common), PEDRA RAIO (rare)
133|Eevee     |NORMAL           |  55|  55|  50|  55|  45|  65|RUN AWAY    |-------     |
134|Vaporeon  |WATER            | 130|  65|  60|  65| 110|  95|WATER ABSORB|-------     |TM16 (common), MAIS HP (rare)
135|Jolteon   |ELECTRIC         |  65|  65|  60| 130| 110|  95|VOLT ABSORB |-------     |MÁX. REVIVER (rare)
136|Flareon   |FIRE             |  65| 130|  60|  65|  95| 110|FLASH FIRE  |-------     |LIMONADA (common), TM44 (rare)
137|Porygon   |NORMAL           |  65|  60|  70|  40|  85|  75|TRACE       |-------     |RESTOS (common)
138|Omanyte   |ROCK/WATER       |  35|  40| 100|  35|  90|  55|SWIFT SWIM  |SHELL ARMOR |
139|Omastar   |ROCK/WATER       |  70|  60| 125|  55| 115|  70|SWIFT SWIM  |SHELL ARMOR |
140|Kabuto    |ROCK/WATER       |  30|  80|  90|  55|  55|  45|SWIFT SWIM  |BATTLE ARMOR|
141|Kabutops  |ROCK/WATER       |  60| 115| 105|  80|  65|  70|SWIFT SWIM  |BATTLE ARMOR|TM16 (rare)
142|Aerodactyl|ROCK/FLYING      |  80| 105|  65| 130|  60|  75|ROCK HEAD   |PRESSURE    |TM11 (common)
143|Snorlax   |NORMAL           | 160| 110|  65|  30|  65| 110|IMMUNITY    |THICK FAT   |TM08 (100%)
144|Articuno  |ICE/FLYING       |  90|  85| 100|  85|  95| 125|PRESSURE    |-------     |PERSIM FRUTO (100%)
145|Zapdos    |ELECTRIC/FLYING  |  90|  90|  85| 100| 125|  90|PRESSURE    |-------     |
146|Moltres   |FIRE/FLYING      |  90| 100|  90|  90| 125|  85|PRESSURE    |-------     |
147|Dratini   |DRAGON           |  41|  64|  45|  50|  50|  50|SHED SKIN   |-------     |
148|Dragonair |DRAGON           |  61|  84|  65|  70|  70|  70|SHED SKIN   |-------     |
149|Dragonite |DRAGON/FLYING    |  91| 134|  95|  80| 100| 100|INNER FOCUS |-------     |
150|Mewtwo    |PSYCHIC          | 106| 110|  90| 130| 154|  90|PRESSURE    |-------     |
151|Mew       |PSYCHIC          | 100| 100| 100| 100| 100| 100|SYNCHRONIZE |-------     |
152|Chikorita |GRASS            |  45|  49|  65|  45|  49|  65|OVERGROW    |-------     |POKé BOLA (100%)
153|Bayleef   |GRASS            |  60|  62|  80|  60|  63|  80|OVERGROW    |-------     |TM42 (common), ESC. CORAÇÄO (rare)
154|Meganium  |GRASS            |  80|  82| 100|  80|  83| 100|OVERGROW    |-------     |
155|Cyndaquil |FIRE             |  39|  52|  43|  65|  60|  50|BLAZE       |-------     |
156|Quilava   |FIRE             |  58|  64|  58|  80|  80|  65|BLAZE       |-------     |TM42 (common)
157|Typhlosion|FIRE             |  78|  84|  78| 100| 109|  85|BLAZE       |-------     |DRAGÄO FANG (rare)
158|Totodile  |WATER            |  50|  65|  64|  43|  44|  48|TORRENT     |-------     |
159|Croconaw  |WATER            |  65|  80|  80|  58|  59|  63|TORRENT     |-------     |PROTEÏNA (rare)
160|Feraligatr|WATER            |  85| 105| 100|  78|  79|  83|TORRENT     |-------     |TM41 (common), PÉROLA G. (rare)
161|Sentret   |NORMAL           |  35|  46|  34|  20|  35|  45|RUN AWAY    |KEEN EYE    |
162|Furret    |NORMAL           |  85|  76|  64|  90|  45|  55|RUN AWAY    |KEEN EYE    |
163|Hoothoot  |NORMAL/FLYING    |  60|  30|  30|  50|  36|  56|INSOMNIA    |KEEN EYE    |TM47 (rare)
164|Noctowl   |NORMAL/FLYING    | 100|  50|  50|  70|  76|  96|INSOMNIA    |KEEN EYE    |
165|Ledyba    |BUG/FLYING       |  40|  20|  30|  55|  40|  80|SWARM       |EARLY BIRD  |RAÍZ ENERGIA (common), CARVÄO (rare)
166|Ledian    |BUG/FLYING       |  55|  35|  50|  85|  55| 110|SWARM       |EARLY BIRD  |PÉROLA (common), SAFARI BOLA (rare)
167|Spinarak  |BUG/POISON       |  40|  60|  40|  30|  40|  40|SWARM       |INSOMNIA    |FR. VERMELHO (common)
168|Ariados   |BUG/POISON       |  70|  90|  70|  40|  60|  60|SWARM       |INSOMNIA    |
169|Crobat    |POISON/FLYING    |  85|  90|  80| 130|  70|  80|INNER FOCUS |-------     |PÓ PRATEADO (rare)
170|Chinchou  |WATER/ELECTRIC   |  75|  38|  38|  67|  56|  56|VOLT ABSORB |ILLUMINATE  |TM38 (common), COGUMELO G. (rare)
171|Lanturn   |WATER/ELECTRIC   | 125|  58|  58|  67|  76|  76|VOLT ABSORB |ILLUMINATE  |
172|Pichu     |ELECTRIC         |  20|  40|  15|  60|  35|  35|STATIC      |-------     |
173|Cleffa    |NORMAL           |  50|  25|  28|  15|  45|  55|CUTE CHARM  |-------     |FR. AMARELO (common), AREIA FINA (rare)
174|Igglybuff |NORMAL           |  90|  30|  15|  15|  40|  20|CUTE CHARM  |-------     |ÁGUA FRESCA (rare)
175|Togepi    |NORMAL           |  35|  20|  65|  20|  40|  65|HUSTLE      |SERENE GRACE|FL. PRETA (common), REVIVER (rare)
176|Togetic   |NORMAL/FLYING    |  55|  40|  85|  40|  80| 105|HUSTLE      |SERENE GRACE|
177|Natu      |PSYCHIC/FLYING   |  40|  50|  45|  70|  70|  45|SYNCHRONIZE |EARLY BIRD  |PÓ PRATEADO (common)
178|Xatu      |PSYCHIC/FLYING   |  65|  75|  70|  95|  95|  70|SYNCHRONIZE |EARLY BIRD  |DOCE LAVA (common), PEDRA DURA (rare)
179|Mareep    |ELECTRIC         |  55|  40|  40|  35|  65|  45|STATIC      |-------     |TM41 (common), PÓ DO BRILHO (rare)
180|Flaaffy   |ELECTRIC         |  70|  55|  55|  45|  80|  60|STATIC      |-------     |FL. AZUL (rare)
181|Ampharos  |ELECTRIC         |  90|  75|  75|  55| 115|  90|STATIC      |-------     |ERVA REVIVA (100%)
182|Bellossom |GRASS            |  75|  80|  85|  50|  90| 100|CHLOROPHYLL |-------     |MAIS HP (common), TELESCÓPIO (rare)
183|Marill    |WATER            |  70|  20|  50|  40|  20|  50|THICK FAT   |HUGE POWER  |ÁGUA FRESCA (100%)
184|Azumarill |WATER            | 100|  50|  80|  50|  50|  80|THICK FAT   |HUGE POWER  |
185|Sudowoodo |ROCK             |  70| 100| 115|  30|  30|  65|STURDY      |ROCK HEAD   |REVIVER (100%)
186|Politoed  |WATER            |  90|  75|  75|  70|  90| 100|WATER ABSORB|DAMP        |
187|Hoppip    |GRASS/FLYING     |  35|  35|  40|  50|  35|  55|CHLOROPHYLL |-------     |
188|Skiploom  |GRASS/FLYING     |  55|  45|  50|  80|  45|  65|CHLOROPHYLL |-------     |TM33 (common)
189|Jumpluff  |GRASS/FLYING     |  75|  55|  70| 110|  55|  85|CHLOROPHYLL |-------     |TM01 (common)
190|Aipom     |NORMAL           |  55|  70|  55|  85|  40|  55|RUN AWAY    |PICKUP      |
191|Sunkern   |GRASS            |  30|  30|  30|  30|  30|  30|CHLOROPHYLL |-------     |SITRUS FRUTO (common), PUXADOR (rare)
192|Sunflora  |GRASS            |  75|  75|  55|  30| 105|  85|CHLOROPHYLL |-------     |PEDRA ETERNA (common), NUNCA DERRETE (rare)
193|Yanma     |BUG/FLYING       |  65|  65|  45|  95|  75|  45|SPEED BOOST |COMPOUNDEYES|
194|Wooper    |WATER/GROUND     |  55|  45|  45|  15|  25|  25|DAMP        |WATER ABSORB|PEPITA (rare)
195|Quagsire  |WATER/GROUND     |  95|  85|  85|  35|  65|  65|DAMP        |WATER ABSORB|FL. AZUL (common)
196|Espeon    |PSYCHIC          |  65|  65|  60| 110| 130|  95|SYNCHRONIZE |-------     |TM11 (rare)
197|Umbreon   |DARK             |  95|  65| 110|  65|  60| 130|SYNCHRONIZE |-------     |
198|Murkrow   |DARK/FLYING      |  60|  85|  42|  91|  85|  42|INSOMNIA    |-------     |
199|Slowking  |WATER/PSYCHIC    |  95|  75|  80|  30| 100| 110|OBLIVIOUS   |OWN TEMPO   |
200|Misdreavus|GHOST            |  60|  60|  60|  85|  85|  85|LEVITATE    |-------     |DOCE LAVA (common), SODA POP (rare)
201|Unown     |PSYCHIC          |  48|  72|  48|  48|  72|  48|LEVITATE    |-------     |
202|Wobbuffet |PSYCHIC          | 190|  33|  58|  33|  33|  58|SHADOW TAG  |-------     |
203|Girafarig |NORMAL/PSYCHIC   |  70|  80|  65|  85|  90|  65|INNER FOCUS |EARLY BIRD  |
204|Pineco    |BUG              |  50|  65|  90|  15|  35|  35|STURDY      |-------     |TM39 (common)
205|Forretress|BUG/STEEL        |  75|  90| 140|  40|  60|  60|STURDY      |-------     |REPETE BOLA (common)
206|Dunsparce |NORMAL           | 100|  70|  70|  45|  65|  65|SERENE GRACE|RUN AWAY    |BICO AFIADO (common)
207|Gligar    |GROUND/FLYING    |  65|  75| 105|  85|  35|  65|HYPER CUTTER|SAND VEIL   |FR. VERDE (common), TM50 (rare)
208|Steelix   |STEEL/GROUND     |  75|  85| 200|  30|  55|  65|ROCK HEAD   |STURDY      |
209|Snubbull  |NORMAL           |  60|  80|  50|  30|  40|  40|INTIMIDATE  |RUN AWAY    |TM10 (common), TM27 (rare)
210|Granbull  |NORMAL           |  90| 120|  75|  45|  60|  60|INTIMIDATE  |INTIMIDATE  |
